address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
4720 alexandra ct,fort worth,76244,4.0,3.0,2470,1999.0,255500,"['""zestimate"":267889']","['""rentZestimate"":1850']",single family,"['HOA Fee"",""factValue"":""$31']","2018 $6,072 +9% $249,589 +9.3%","$278,872 (+4.1 %)",https://www.zillow.com/homedetails/4720-Alexandra-Ct-Fort-Worth-TX-76244/29312609_zpid/
3304 n nichols st,fort worth,76106,3.0,3.0,1440,1949.0,159900,"['""zestimate"":158607']","['""rentZestimate"":1280']",single family,[],"2018 $2,007 +4870.3% $72,958 +9.6%","$163,603 (+3.1 %)",https://www.zillow.com/homedetails/3304-N-Nichols-St-Fort-Worth-TX-76106/28984501_zpid/
5224 libbey ave,fort worth,76107,3.0,2.0,1276,2018.0,153000,"['""zestimate"":145872']",[],single family,[],"2018 $193 -1% $7,000 --",Unavailable,https://www.zillow.com/homedetails/5224-Libbey-Ave-Fort-Worth-TX-76107/97674330_zpid/
3945 golden horn ln,fort worth,76123,4.0,2.0,2105,2003.0,187000,"['""zestimate"":178853']","['""rentZestimate"":1495']",single family,[],"2018 $3,569 +10% $157,265 +9.9%","$188,887 (+5.6 %)",https://www.zillow.com/homedetails/3945-Golden-Horn-Ln-Fort-Worth-TX-76123/61875506_zpid/
10257 w rancho diego ln,crowley,76036,4.0,2.0,2533,2001.0,299000,"['""zestimate"":300701']","['""rentZestimate"":1995']",single family,[],"2018 $6,293 +9.4% $265,000 --","$306,023 (+1.8 %)",https://www.zillow.com/homedetails/10257-W-Rancho-Diego-Ln-Crowley-TX-76036/54043474_zpid/
8049 brook ridge dr,fort worth,76120,3.0,3.0,2352,2004.0,199900,"['""zestimate"":229041']","['""rentZestimate"":1675']",single family,[],"2018 $5,114 +9.5% $185,916 +10.8%","$240,104 (+4.8 %)",https://www.zillow.com/homedetails/8049-Brook-Ridge-Dr-Fort-Worth-TX-76120/66643995_zpid/
4513 blackstone dr,fort worth,76114,4.0,3.0,1725,1950.0,175000,"['""zestimate"":188192']","['""rentZestimate"":1450']",single family,[],"2018 $3,363 +1.9% $120,499 +3.1%","-$6,327 (-3.3 %)",https://www.zillow.com/homedetails/4513-Blackstone-Dr-Fort-Worth-TX-76114/29320868_zpid/
4925 elgin st,fort worth,76105,3.0,2.0,1630,2018.0,195817,"['""zestimate"":173116']",[],single family,[],"2018 $138 -0.9% $5,000 --","-$2,496 (-1.4 %)",https://www.zillow.com/homedetails/4925-Elgin-St-Fort-Worth-TX-76105/97718514_zpid/
8701 eagleview ct,fort worth,76179,4.0,3.0,3336,1972.0,299500,"['""zestimate"":299773']","['""rentZestimate"":2049']",single family,[],"2018 $6,857 +9.4% $264,472 +7.4%","$303,190 (+1.1 %)",https://www.zillow.com/homedetails/8701-Eagleview-Ct-Fort-Worth-TX-76179/29019657_zpid/
8251 horse whisper ln,fort worth,76131,3.0,2.0,1400,2003.0,169900,"['""zestimate"":182582']","['""rentZestimate"":1450']",single family,[],"2018 $3,552 +9.9% $153,584 +7.9%","$193,519 (+6.0 %)",https://www.zillow.com/homedetails/8251-Horse-Whisper-Ln-Fort-Worth-TX-76131/61875144_zpid/
